Player,Height,Foot,International matches,Goals,Country,TM_Position,Pos,Value_M,Age
Kerim Alajbegovic,"1,86m",both,13,2,Bosnia and Herzegovina,Left Winger,FW,22.0,18
Esmir Bajraktarevic,"1,75m",left,19,1,Bosnia and Herzegovina,Right Winger,FW,8.0,21
Ermedin Demirovic,"1,85m",right,43,4,Bosnia and Herzegovina,Centre-Forward,FW,22.0,28
Haris Tabakovic,"1,96m",right,10,4,Bosnia and Herzegovina,Centre-Forward,FW,3.5,32
Jovo Lukić,"1,90m",left,5,1,Bosnia and Herzegovina,Centre-Forward,FW,2.2,27
Samed Bazdar,"1,89m",right,14,1,Bosnia and Herzegovina,Centre-Forward,FW,1.5,22
Edin Dzeko,"1,92m",right,150,73,Bosnia and Herzegovina,Centre-Forward,FW,1.0,40
Alisson,"1,93m",right,82.0,0,Brazil,Goalkeeper,GK,15.0,33
Ederson,"1,88m",left,32.0,0,Brazil,Goalkeeper,GK,10.0,32
Weverton,"1,89m",right,11.0,0,Brazil,Goalkeeper,GK,0.7,38
Gabriel,"1,90m",left,21.0,1,Brazil,Centre-Back,DF,75.0,28
Bremer,"1,88m",right,8.0,1,Brazil,Centre-Back,DF,35.0,29
Marquinhos,"1,83m",right,109.0,7,Brazil,Centre-Back,DF,28.0,32
Roger Ibañez,"1,86m",right,8.0,0,Brazil,Centre-Back,DF,18.0,27
Léo Pereira,"1,89m",left,4.0,0,Brazil,Centre-Back,DF,12.0,30
Danilo,"1,84m",right,74.0,1,Brazil,Centre-Back,DF,2.0,34
Douglas Santos,"1,73m",left,11.0,0,Brazil,Left-Back,DF,7.5,32
Alex Sandro,"1,80m",left,46.0,2,Brazil,Left-Back,DF,1.0,35
Fabinho,"1,88m",right,36.0,0,Brazil,Defensive Midfield,MF,12.0,32
Casemiro,"1,85m",right,90.0,10,Brazil,Defensive Midfield,MF,6.0,34
Bruno Guimarães,"1,82m",right,47.0,3,Brazil,Central Midfield,MF,70.0,28
Éderson,"1,83m",right,4.0,0,Brazil,Central Midfield,MF,45.0,26
Danilo,"1,77m",left,7.0,2,Brazil,Central Midfield,MF,32.0,25
Lucas Paquetá,"1,83m",left,67.0,13,Brazil,Attacking Midfield,MF,32.0,28
Neymar,"1,75m",right,129.0,79,Brazil,Attacking Midfield,MF,8.0,34
Vinicius Junior,"1,76m",right,53.0,13,Brazil,Left Winger,FW,140.0,25
Raphinha,"1,76m",left,41.0,11,Brazil,Left Winger,FW,70.0,29
Gabriel Martinelli,"1,78m",right,26.0,5,Brazil,Left Winger,FW,45.0,25
Rayan,"1,87m",left,5.0,1,Brazil,Right Winger,FW,60.0,19
Luiz Henrique,"1,82m",left,16.0,2,Brazil,Right Winger,FW,24.0,25
Matheus Cunha,"1,83m",right,27.0,4,Brazil,Centre-Forward,FW,75.0,27
Igor Thiago,"1,90m",right,5.0,2,Brazil,Centre-Forward,FW,65.0,25
Endrick,"1,72m",left,20.0,4,Brazil,Centre-Forward,FW,40.0,19
Dayne St. Clair,"1,91m",left,20,0,Canada,Goalkeeper,GK,3.5,29
Maxime Crépeau,"1,80m",right,36,0,Canada,Goalkeeper,GK,1.8,32
Owen Goodman,"1,93m",left,-,0,Canada,Goalkeeper,GK,0.55,22
Moïse Bombito,"1,90m",right,22,0,Canada,Centre-Back,DF,7.0,26
Alfie Jones,"1,91m",right,2,0,Canada,Centre-Back,DF,6.0,28
Derek Cornelius,"1,86m",left,48,1,Canada,Centre-Back,DF,2.5,28
Joel Waterman,"1,85m",right,17,0,Canada,Centre-Back,DF,2.0,30
Luc De Fougerolles,"1,83m",right,17,0,Canada,Centre-Back,DF,1.0,20
Alphonso Davies,"1,83m",left,59,15,Canada,Left-Back,DF,40.0,25
Alistair Johnston,"1,80m",right,62,1,Canada,Right-Back,DF,8.0,27
Richie Laryea,"1,75m",right,80,1,Canada,Right-Back,DF,1.0,31
Niko Sigur,"1,78m",right,21,2,Canada,Defensive Midfield,MF,4.0,22
Ismaël Koné,"1,88m",right,42,4,Canada,Central Midfield,MF,25.0,24
Nathan-Dylan Saliba,"1,74m",right,18,3,Canada,Central Midfield,MF,7.5,22
Stephen Eustaquio,"1,75m",right,60,5,Canada,Central Midfield,MF,6.0,29
Jonathan Osorio,"1,75m",both,92,10,Canada,Central Midfield,MF,1.0,34
Mathieu Choinière,"1,73m",right,25,0,Canada,Central Midfield,MF,0.8,27
Ali Ahmed,"1,80m",right,27,1,Canada,Left Midfield,MF,5.0,25
Liam Millar,"1,81m",right,44,1,Canada,Left Winger,FW,3.0,26
Jacob Shaffelburg,"1,81m",left,35,6,Canada,Left Winger,FW,2.5,26
Jayden Nelson,"1,70m",right,15,3,Canada,Left Winger,FW,2.0,23
Tajon Buchanan,"1,83m",right,64,8,Canada,Right Winger,FW,12.0,27
Jonathan David,"1,78m",both,81,42,Canada,Centre-Forward,FW,30.0,26
Promise David,"1,95m",right,13,4,Canada,Centre-Forward,FW,17.0,24
Tani Oluwaseyi,"1,87m",left,28,2,Canada,Centre-Forward,FW,7.0,26
Cyle Larin,"1,88m",right,93,32,Canada,Centre-Forward,FW,2.5,31
CJ dos Santos,"1,89m",right,1.0,0,Cape Verde,Goalkeeper,GK,1.0,25
Márcio Rosa,"1,86m",right,10.0,0,Cape Verde,Goalkeeper,GK,0.35,29
Vozinha,"1,89m",right,91.0,0,Cape Verde,Goalkeeper,GK,0.05,40
Logan Costa,"1,90m",right,28.0,0,Cape Verde,Centre-Back,DF,15.0,25
Diney Borges,"1,85m",right,34.0,2,Cape Verde,Centre-Back,DF,0.9,31
Kelvin Pires,"1,93m",right,5.0,1,Cape Verde,Centre-Back,DF,0.4,26
Roberto Lopes,"1,86m",right,48.0,0,Cape Verde,Centre-Back,DF,0.25,34
Stopira,"1,78m",left,59.0,4,Cape Verde,Centre-Back,DF,0.05,38
Sidny Lopes Cabral,"1,76m",both,11.0,2,Cape Verde,Left-Back,DF,4.0,23
Wagner Pina,"1,80m",right,14.0,0,Cape Verde,Right-Back,DF,11.0,23
Steven Moreira,"1,78m",right,23.0,0,Cape Verde,Right-Back,DF,1.5,31
Kevin Pina,"1,77m",both,34.0,4,Cape Verde,Defensive Midfield,MF,5.0,29
Laros Duarte,"1,80m",right,21.0,1,Cape Verde,Defensive Midfield,MF,1.0,29
João Paulo,"1,80m",left,43.0,1,Cape Verde,Defensive Midfield,MF,0.9,28
Deroy Duarte,"1,77m",right,34.0,0,Cape Verde,Central Midfield,MF,1.8,26
Jamiro Monteiro,"1,75m",right,56.0,5,Cape Verde,Central Midfield,MF,0.65,32
Yannick Semedo,"1,76m",right,11.0,1,Cape Verde,Central Midfield,MF,0.25,30
Hélio Varela,"1,76m",right,22.0,1,Cape Verde,Left Winger,FW,2.5,24
Jovane Cabral,"1,74m",right,29.0,3,Cape Verde,Left Winger,FW,1.0,28
Willy Semedo,"1,85m",right,39.0,3,Cape Verde,Left Winger,FW,1.0,32
Ryan Mendes,"1,78m",right,99.0,22,Cape Verde,Left Winger,FW,0.2,36
Telmo Arcanjo,"1,80m",left,18.0,1,Cape Verde,Right Winger,FW,3.0,25
Garry Rodrigues,"1,73m",right,62.0,9,Cape Verde,Right Winger,FW,0.3,35
Gilson Benchimol,"1,87m",right,22.0,6,Cape Verde,Centre-Forward,FW,1.2,24
Dailon Livramento,"1,85m",right,23.0,5,Cape Verde,Centre-Forward,FW,0.8,25
Nuno da Costa,"1,82m",right,11.0,1,Cape Verde,Centre-Forward,FW,0.4,35
Álvaro Montero,"2,01m",right,11.0,0,Colombia,Goalkeeper,GK,2.5,31
Camilo Vargas,"1,83m",left,45.0,0,Colombia,Goalkeeper,GK,0.45,37
David Ospina,"1,83m",right,131.0,0,Colombia,Goalkeeper,GK,0.1,37
Jhon Lucumí,"1,87m",left,40.0,1,Colombia,Centre-Back,DF,22.0,28
Davinson Sánchez,"1,88m",right,82.0,4,Colombia,Centre-Back,DF,16.0,30
Willer Ditta,"1,79m",right,5.0,0,Colombia,Centre-Back,DF,5.5,28
Yerry Mina,"1,95m",right,54.0,8,Colombia,Centre-Back,DF,2.5,31
Deiver Machado,"1,73m",left,16.0,0,Colombia,Left-Back,DF,1.8,32
Johan Mojica,"1,84m",left,47.0,1,Colombia,Left-Back,DF,1.5,33
Daniel Muñoz,"1,80m",right,49.0,5,Colombia,Right-Back,DF,22.0,30
Santiago Arias,"1,77m",right,69.0,0,Colombia,Right-Back,DF,1.2,34
Richard Ríos,"1,85m",right,35.0,2,Colombia,Defensive Midfield,MF,25.0,26
Jefferson Lerma,"1,80m",right,68.0,5,Colombia,Defensive Midfield,MF,6.0,31
Kevin Castaño,"1,79m",right,27.0,0,Colombia,Defensive Midfield,MF,5.0,25
Gustavo Puerta,"1,73m",right,9.0,1,Colombia,Central Midfield,MF,10.0,22
Juan Portilla,"1,81m",right,10.0,0,Colombia,Central Midfield,MF,5.0,27
Jorge Carrascal,"1,80m",right,24.0,2,Colombia,Attacking Midfield,MF,13.0,28
Juan Fernando Quintero,"1,67m",left,51.0,6,Colombia,Attacking Midfield,MF,1.8,33
James Rodríguez,"1,81m",left,129.0,31,Colombia,Attacking Midfield,MF,1.5,34
Luis Díaz,"1,79m",right,77.0,23,Colombia,Left Winger,FW,70.0,29
Andrés Gómez,"1,70m",right,9.0,2,Colombia,Left Winger,FW,11.0,23
Jáminton Campaz,"1,66m",left,11.0,2,Colombia,Left Winger,FW,5.5,26
Jhon Arias,"1,68m",right,41.0,6,Colombia,Right Winger,FW,15.0,28
Luis Suárez,"1,79m",right,15.0,5,Colombia,Centre-Forward,FW,30.0,28
Cucho Hernández,"1,76m",right,10.0,2,Colombia,Centre-Forward,FW,18.0,27
Jhon Córdoba,"1,86m",right,23.0,6,Colombia,Centre-Forward,FW,10.0,33
Dominik Kotarski,"1,90m",right,4,0,Croatia,Goalkeeper,GK,5.0,26
Ivor Pandur,"1,87m",right,-,0,Croatia,Goalkeeper,GK,4.5,26
Dominik Livakovic,"1,88m",right,78,0,Croatia,Goalkeeper,GK,4.0,31
Josko Gvardiol,"1,85m",left,51,4,Croatia,Centre-Back,DF,70.0,24
Luka Vuskovic,"1,93m",right,6,1,Croatia,Centre-Back,DF,60.0,19
Josip Sutalo,"1,85m",right,36,0,Croatia,Centre-Back,DF,12.0,26
Marin Pongracic,"1,93m",right,22,0,Croatia,Centre-Back,DF,6.5,28
Martin Erlić,"1,92m",right,13,1,Croatia,Centre-Back,DF,4.0,28
Duje Caleta-Car,"1,93m",right,38,1,Croatia,Centre-Back,DF,2.8,29
Josip Stanisic,"1,87m",both,34,0,Croatia,Right-Back,DF,40.0,26
Nikola Moro,"1,83m",right,10,0,Croatia,Defensive Midfield,MF,7.0,28
Kristijan Jakic,"1,81m",right,17,2,Croatia,Defensive Midfield,MF,6.0,29
Petar Sučić,"1,83m",right,20,2,Croatia,Central Midfield,MF,40.0,22
Mateo Kovacic,"1,78m",right,116,5,Croatia,Central Midfield,MF,10.0,32
Luka Sucic,"1,85m",left,22,1,Croatia,Central Midfield,MF,10.0,23
Mario Pašalić,"1,88m",right,88,12,Croatia,Central Midfield,MF,6.0,31
Luka Modrić,"1,72m",right,201,29,Croatia,Central Midfield,MF,3.5,40
Martin Baturina,"1,72m",right,22,2,Croatia,Attacking Midfield,MF,30.0,23
Nikola Vlašić,"1,79m",right,65,11,Croatia,Attacking Midfield,MF,10.0,28
Toni Fruk,"1,77m",left,7,1,Croatia,Attacking Midfield,MF,9.0,25
Andrej Kramaric,"1,77m",right,118,36,Croatia,Attacking Midfield,MF,2.5,35
Ivan Perišić,"1,86m",both,157,38,Croatia,Left Winger,FW,1.2,37
Marco Pašalić,"1,77m",left,18,1,Croatia,Right Winger,FW,6.5,25
Igor Matanovic,"1,94m",right,11,2,Croatia,Centre-Forward,FW,22.0,23
Petar Musa,"1,90m",right,13,2,Croatia,Centre-Forward,FW,12.0,28
Ante Budimir,"1,90m",left,40,7,Croatia,Centre-Forward,FW,2.8,34
Eloy Room,"1,90m",right,73.0,0,Curaçao,Goalkeeper,GK,0.15,37
Trevor Doornbusch,"1,88m",right,8.0,0,Curaçao,Goalkeeper,GK,0.05,26
Tyrick Bodak,"1,90m",right,4.0,0,Curaçao,Goalkeeper,GK,0.025,24
Armando Obispo,"1,85m",left,9.0,0,Curaçao,Centre-Back,DF,4.0,27
Riechedly Bazoer,"1,84m",right,6.0,0,Curaçao,Centre-Back,DF,1.5,29
Deveron Fonville,"1,88m",left,5.0,0,Curaçao,Centre-Back,DF,1.5,23
Roshon van Eijma,"1,86m",right,28.0,1,Curaçao,Centre-Back,DF,0.375,28
Juriën Gaari,"1,83m",right,61.0,1,Curaçao,Centre-Back,DF,0.35,32
Sherel Floranus,"1,81m",right,29.0,0,Curaçao,Left-Back,DF,0.8,27
Shurandy Sambo,"1,74m",right,9.0,0,Curaçao,Right-Back,DF,1.3,24
Joshua Brenet,"1,81m",right,19.0,2,Curaçao,Right-Back,DF,1.0,32
Livano Comenencia,"1,85m",right,22.0,3,Curaçao,Right-Back,DF,0.5,22
Kevin Felida,"1,74m",right,19.0,1,Curaçao,Defensive Midfield,MF,0.4,26
Godfried Roemeratoe,"1,78m",right,29.0,1,Curaçao,Defensive Midfield,MF,0.35,26
Juninho Bacuna,"1,78m",right,52.0,14,Curaçao,Central Midfield,MF,1.7,28
Leandro Bacuna,"1,80m",right,74.0,16,Curaçao,Central Midfield,MF,0.25,34
Tyrese Noslin,"1,82m",right,8.0,1,Curaçao,Right Midfield,MF,0.75,23
Tahith Chong,"1,85m",left,9.0,3,Curaçao,Attacking Midfield,MF,3.5,26
Jearl Margaritha,"1,81m",right,24.0,5,Curaçao,Left Winger,FW,1.0,26
Jeremy Antonisse,"1,64m",right,28.0,4,Curaçao,Left Winger,FW,0.8,24
Kenji Gorré,"1,74m",right,38.0,6,Curaçao,Left Winger,FW,0.6,31
Sontje Hansen,"1,76m",right,7.0,1,Curaçao,Right Winger,FW,3.5,24
Ar'jany Martha,"1,80m",left,8.0,2,Curaçao,Right Winger,FW,0.7,22
Brandley Kuwas,"1,81m",left,36.0,2,Curaçao,Right Winger,FW,0.25,33
Gervane Kastaneer,"1,89m",right,32.0,9,Curaçao,Centre-Forward,FW,0.225,30
