Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,Gls_p90,Ast_p90,Country,Pos_sh,Age_sh,90s_sh,Sh,SoT,SoT_pct,Sh_p90,SoT_p90,G_per_Sh,G_per_SoT,Pos_misc,Age_misc,90s_misc,Fls,Fld,Off,Crs,Int,TklW,Pos_gk,Age_gk,MP_gk,Starts_gk,Min_gk,90s_gk,GA,GA90,SoTA,Saves,Save_pct,CS,CS_pct,match_name,Player_tm,Height,Foot,International matches,Goals,TM_Position,Pos_tm,Value_M,Age_tm
Thiago Almada,MF,25-070,4.0,3,211.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,Argentina,MF,25-070,2.3,2.0,0.0,0.0,0.85,0.0,0.0,,MF,25-070,2.3,1.0,2.0,2.0,0.0,0.0,4.0,,,,,,,,,,,,,,thiago almada,Thiago Almada,"1,71m",right,19.0,5,Left Winger,FW,15.0,25
Nahuel Molina,DF,28-090,3.0,2,238.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,Argentina,DF,28-090,2.6,0.0,0.0,,0.0,0.0,,,DF,28-090,2.6,2.0,0.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,nahuel molina,Nahuel Molina,"1,79m",right,60.0,1,Right-Back,DF,15.0,28
Julián Álvarez,FW,26-155,4.0,1,202.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,Argentina,FW,26-155,2.2,3.0,2.0,66.7,1.34,0.89,0.0,0.0,FW,26-155,2.2,2.0,0.0,0.0,0.0,2.0,1.0,,,,,,,,,,,,,,julian alvarez,Julián Alvarez,"1,70m",right,54.0,14,Centre-Forward,FW,100.0,26
Leandro Paredes,MF,32-006,3.0,1,136.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,Argentina,MF,32-006,1.5,1.0,1.0,100.0,0.66,0.66,0.0,0.0,MF,32-006,1.5,1.0,0.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,leandro paredes,Leandro Paredes,"1,82m",right,79.0,5,Defensive Midfield,MF,5.0,32
Nicolás Otamendi,DF,38-143,3.0,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,Argentina,DF,38-143,1.5,1.0,0.0,0.0,0.67,0.0,0.0,,DF,38-143,1.5,3.0,0.0,1.0,0.0,5.0,2.0,,,,,,,,,,,,,,nicolas otamendi,Nicolás Otamendi,"1,82m",right,135.0,8,Centre-Back,DF,1.0,38
Nicolás Tagliafico,DF,33-308,3.0,1,134.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,Argentina,DF,33-308,1.5,0.0,0.0,,0.0,0.0,,,DF,33-308,1.5,1.0,5.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,nicolas tagliafico,Nicolás Tagliafico,"1,72m",left,78.0,1,Left-Back,DF,4.0,33
Exequiel Palacios,DF,27-273,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina,DF,27-273,1.0,0.0,0.0,,0.0,0.0,,,DF,27-273,1.0,1.0,1.0,0.0,0.0,5.0,0.0,,,,,,,,,,,,,,exequiel palacios,Exequiel Palacios,"1,77m",right,41.0,0,Central Midfield,MF,25.0,27
Marcos Senesi,DF,29-056,1.0,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentina,DF,29-056,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,DF,29-056,1.0,0.0,2.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,marcos senesi,Marcos Senesi,"1,84m",left,4.0,0,Centre-Back,DF,25.0,29
Giuliano Simeone,FW,23-199,1.0,1,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,Argentina,FW,23-199,0.8,0.0,0.0,,0.0,0.0,,,FW,23-199,0.8,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,giuliano simeone,Giuliano Simeone,"1,74m",right,14.0,2,Right Winger,FW,40.0,23
Gonzalo Montiel,DF,29-185,2.0,1,62.0,0.7,0.0,0.0,1.0,0.0,0.0,0.0,Argentina,DF,29-185,0.7,1.0,0.0,0.0,1.45,0.0,0.0,,DF,29-185,0.7,2.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,,,,,gonzalo montiel,Gonzalo Montiel,"1,75m",right,40.0,2,Right-Back,DF,4.5,29
Giovani Lo Celso,MF,30-087,1.0,1,59.0,0.7,1.0,0.0,0.0,0.0,1.53,0.0,Argentina,MF,30-087,0.7,1.0,1.0,100.0,1.53,1.53,1.0,1.0,MF,30-087,0.7,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,giovani lo celso,Giovani Lo Celso,"1,77m",left,68.0,5,Attacking Midfield,MF,8.0,30
Valentín Barco,"DF,MF",21-347,1.0,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Argentina,"DF,MF",21-347,0.2,0.0,0.0,,0.0,0.0,,,"DF,MF",21-347,0.2,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,valentin barco,Valentín Barco,"1,72m",left,5.0,2,Central Midfield,MF,40.0,21
Flaco López,FW,25-211,1.0,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Argentina,FW,25-211,0.1,1.0,0.0,0.0,10.0,0.0,0.0,,FW,25-211,0.1,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,flaco lopez,Flaco López,"1,90m",left,6.0,0,Centre-Forward,FW,25.0,25
Juan Musso,GK,32-060,0.0,0,,,,,,,,,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,juan musso,Juan Musso,"1,93m",right,4.0,0,Goalkeeper,GK,3.0,32
