Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR,Gls_p90,Ast_p90,Country
Leandro Trossard,"MF,FW",31-213,,4,359.0,4.0,2.0,1.0,0.0,0.0,0.5,0.25,Belgium
Kevin De Bruyne,MF,35-007,,4,297.0,3.3,1.0,0.0,0.0,0.0,0.3,0.0,Belgium
Timothy Castagne,DF,30-212,,3,298.0,3.3,0.0,0.0,1.0,0.0,0.0,0.0,Belgium
Maxim De Cuyper,DF,25-195,,3,292.0,3.2,0.0,0.0,1.0,0.0,0.0,0.0,Belgium
Jeremy Doku,MF,24-039,,3,195.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,Belgium
Charles De Ketelaere,"FW,MF",25-117,,3,194.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,Belgium
Arthur Theate,DF,26-041,,2,228.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,Belgium
Thomas Meunier,DF,34-296,,2,190.0,2.1,0.0,1.0,0.0,0.0,0.0,0.47,Belgium
Hans Vanaken,MF,33-315,,2,190.0,2.1,0.0,1.0,0.0,0.0,0.0,0.47,Belgium
Nathan Ngoy,DF,23-025,,2,155.0,1.7,0.0,0.0,0.0,1.0,0.0,0.0,Belgium
Romelu Lukaku,FW,33-053,,1,178.0,2.0,2.0,1.0,1.0,0.0,1.01,0.51,Belgium
Nicolas Raskin,MF,25-132,,1,163.0,1.8,0.0,1.0,0.0,0.0,0.0,0.55,Belgium
Amadou Onana,MF,24-323,,1,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Belgium
Alexis Saelemaekers,MF,27-008,,1,76.0,0.8,1.0,0.0,0.0,0.0,1.18,0.0,Belgium
Dodi Lukebakio,"FW,MF",28-284,,0,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,Belgium
Diego Moreira,MF,21-333,,0,58.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Belgium
Matias Fernandez-Pardo,"FW,MF",21-152,,0,44.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Belgium
Koni De Winter,DF,24-023,,0,,,,,,,,,Belgium
Senne Lammens,GK,23-363,,0,,,,,,,,,Belgium
Mike Penders,GK,20-339,,0,,,,,,,,,Belgium
Joaquin Seys,DF,21-099,,0,,,,,,,,,Belgium
Axel Witsel,"DF,MF",37-174,,0,,,,,,,,,Belgium
Nikola Vasilj,GK,30-215,4.0,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Bosnia And Herzegovina
Ermedin Demirović,FW,28-102,4.0,4,354.0,3.9,0.0,0.0,1.0,0.0,0.0,0.0,Bosnia And Herzegovina
Sead Kolašinac,DF,33-015,4.0,4,337.0,3.7,0.0,1.0,0.0,0.0,0.0,0.27,Bosnia And Herzegovina
Nikola Katić,DF,29-268,4.0,4,317.0,3.5,0.0,0.0,1.0,0.0,0.0,0.0,Bosnia And Herzegovina
Kerim Alajbegović,MF,18-287,4.0,3,277.0,3.1,1.0,0.0,0.0,0.0,0.32,0.0,Bosnia And Herzegovina
Amar Dedić,DF,23-321,3.0,3,270.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,Bosnia And Herzegovina
